STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N
1446,"HEBALLA VALLEY LAKE AT D-S 
ROAD BRIDGE NR. MANDYA, 
KARNATAKA",LAKE,KARNATAKA,23.0,27.0,4.0,6.4,7.6,8.4,496.0,1596.0,2.0,5.7,0.24,5.8
3582,HEBBAL LAKE,LAKE,KARNATAKA,21.0,32.0,2.8,5.0,6.4,9.2,1203.0,2540.0,6.5,24.8,0.1,1.38
3583,KUKKARAHALLI LAKE,LAKE,KARNATAKA,24.0,32.0,5.2,7.5,7.4,9.5,526.0,950.0,4.0,9.0,0.2,0.68
3584,DALAVAI LAKE,LAKE,KARNATAKA,24.0,30.0,1.1,3.2,7.0,8.6,754.0,1174.0,10.4,24.0,0.13,4.2
3585,YENNEHOLE LAKE,LAKE,KARNATAKA,25.0,34.0,1.2,3.4,7.2,8.6,733.0,1241.0,10.6,24.6,0.3,3.54
3586,LIMBHABUDI LAKE,LAKE,KARNATAKA,24.0,32.0,3.3,5.8,7.5,9.5,310.0,1334.0,4.2,15.6,0.15,0.63
3587,SHETTYKERE LAKE,LAKE,KARNATAKA,24.0,32.0,4.0,6.2,7.9,9.2,469.0,1109.0,4.0,10.8,0.24,0.6
3591,KEMPAMBUDHI LAKE,LAKE,KARNATAKA,21.0,26.0,4.2,7.7,6.8,7.3,282.0,600.0,4.0,5.0,0.7,7.49
3592,YEDIYUR LAKE,LAKE,KARNATAKA,21.0,35.0,0.7,8.0,6.5,8.0,250.0,664.0,2.0,25.0,0.31,4.57
3593,"ULSOOR LAKE TRAINING 
CENTRE OF FISH BREEDING, 
KARNATAKA",LAKE,KARNATAKA,27.0,36.0,4.2,9.8,6.9,9.3,330.0,666.0,3.0,8.0,0.41,2.0
3601,KARIHOBANAHALLI LAKE,LAKE,KARNATAKA,25.0,34.0,1.0,7.0,6.6,7.5,1417.0,4960.0,6.6,62.0,2.7,11.0
3602,BELLANDUR LAKE,LAKE,KARNATAKA,27.0,29.0,0.6,6.9,6.7,7.2,552.0,1406.0,4.0,45.0,1.0,4.9
3608,VARTHUR LAKE,LAKE,KARNATAKA,28.0,33.0,1.8,4.9,6.8,10.9,644.0,1894.0,4.0,45.0,1.1,10.0
